#gene	Normal1	Normal2	Normal3	Normal4	Normal5	Normal6	Normal7	Normal8	Normal9	Normal10	Normal11	Normal12	Normal13	Ma1	Ma2	Ma3	Ma4	Ma5	Ma6	Ma7	Ma8	Ma9	Ma10	Ma11	Ma12	Ma13	Ma14	Ma15	Ma16	Ma17	Ma18	Ma19	Ma20	Ma21	Ma22
PI4K2A(ENSG00000155252.13)(protein_coding)	9.71	9.1	11.35	10.26	8.24	7.92	8.34	7.78	7.41	8.31	8.12	9.59	10.37	19.13	16.13	8.7	13.88	10.55	8.72	10.6	16.2	7.28	5.04	9.39	10.01	8.03	11.29	17.65	8.35	9.32	11.03	10.65	16.82	9.85	17.28
CPOX(ENSG00000080819.6)(protein_coding)	8.77	9.82	8.12	6.32	9.99	6.79	10.37	6.6	10.33	8.16	9.26	7.47	5.85	9.6	12.46	5.68	13.12	3	10.09	7.8	7.67	5.22	5.09	8.98	9.85	5.01	5.76	6.71	13.63	8.52	13.03	6.97	7.84	3.77	4.06
LINC01569(ENSG00000262468.5)(lincRNA)	2.12	3.2	0.98	0.72	3.05	1.4	1.54	0.01	1.58	0.7	3.61	1.41	2	3.16	1.18	1.61	0.58	2.36	2.28	0.54	1.12	0.81	1.94	0.43	0.66	1.03	0.5	0.99	0.85	1.05	0.76	1.19	0.8	1.35	1.19
NBR1(ENSG00000188554.13)(protein_coding)	62.6	62.52	52.39	45.65	59.19	42.19	55.14	37.74	75	67.55	53.58	75.27	38.46	57.59	23.38	59.22	34.2	24.82	50.74	29.81	34.39	25.61	13.07	29.59	43.18	39.31	58.24	85.84	28.23	53.05	38.39	56.69	45.65	49.8	27.27
NCK1(ENSG00000158092.6)(protein_coding)	26.56	24.55	27.61	24.02	20.31	18.85	18.16	19.36	26.5	24.8	18.88	24.01	17.01	22.33	21.43	23.7	31.88	13.86	21.07	28.48	20.52	13.39	6.33	37.81	29.76	16.52	39.28	16.13	18.76	18.1	22.14	18.96	36.29	22.39	18.54
HERC6(ENSG00000138642.14)(protein_coding)	10.3	5.49	5.55	8.81	10.34	5.07	6.05	5.66	8.57	6.88	5.6	8.28	6.26	23.5	3.47	7.29	5.66	6.01	4.53	12.29	12.18	1.29	12.82	3.14	20.89	1.56	6.63	4.39	1.33	3.92	12.79	3.25	9.6	5.98	2
SYNE4(ENSG00000181392.14)(protein_coding)	8.38	19.77	11.23	4.3	14.74	11.44	10.76	8.01	9.6	10.76	13.83	7.33	24.71	0.74	0.18	5.18	0.26	22.19	0.28	0.42	1.05	0.31	0.44	0.31	0.14	2.04	0.19	3.61	7.04	9.42	0.17	4.13	0.3	5.33	0.12
DCTN2(ENSG00000175203.15)(protein_coding)	153.47	251.51	177.14	189.1	100	210.07	129.73	193.2	137.29	124.18	104.95	116.38	156.54	378.81	135.29	215.94	202.43	147.76	143.93	130.73	253.29	285.26	188.65	157.97	120.2	184.99	118.92	212.93	206.15	153.69	204.98	146.63	143.73	165.19	188.82
UTP15(ENSG00000164338.9)(protein_coding)	11.19	3.64	7	3.6	8.12	6.61	13.45	5.87	8.92	7.36	5.21	11.29	8.67	6.37	16.82	7.5	20.91	8.01	23.2	7.92	6.83	4.09	3.1	5.89	8.93	6.06	7.18	8.03	9.32	6.46	15.49	11	9.82	8.58	8.64
ZNF35(ENSG00000169981.10)(protein_coding)	2.56	4.91	4.03	3	2.5	5.26	6.34	3.8	3.1	4.08	3.01	5.14	4.13	4.78	7.62	5.23	5.74	1.81	12.6	6.09	3.51	2.2	5.91	2.98	6.65	4.72	1.79	6.73	5.72	2.48	8	6.02	6.42	4.26	9.36
OLMALINC(ENSG00000235823.1)(lincRNA)	1.19	2.03	1.63	2	4.99	2.75	6.98	2.37	1.6	2.14	3.01	3.43	5.73	2.87	0.57	1.74	1.05	3.93	0.96	0.8	2.39	0.76	1.6	1.21	0.92	2.33	1.12	1.38	2.07	0.82	1.48	2.12	0.98	2.23	2.09
GRIA1(ENSG00000155511.17)(protein_coding)	0.28	0.13	1.22	0.77	0.23	0.71	0.43	3.79	0.95	0.89	0.52	2.2	0.3	3.11	0.04	1.52	0.67	0.71	10.74	0.11	2.85	3.08	0.09	0.09	0.01	0.86	22.59	0.02	0.4	0.12	0	1.62	0.68	0.54	0.1
FST(ENSG00000134363.11)(protein_coding)	7.28	10.9	8.43	10.84	3.86	4.3	2.72	4.59	2.8	8.26	4.19	4.96	2.73	9.17	67.23	5.28	1.66	1.11	17.48	3.63	49.31	2.84	9.28	12.43	0.94	0.85	2.23	2.9	8.47	16.17	16.3	1.27	12.88	3.53	18.77
SLC39A7(ENSG00000112473.16)(protein_coding)	59.56	84.81	91.14	59.46	66.98	104.29	89.55	88.11	53.51	45.08	69.53	64.55	104.83	139.47	158.85	76.97	83.42	147.64	103.28	111.23	73.52	94.18	219.24	130.09	141.43	99.23	40.37	157.68	186.94	37.85	87.06	70.73	172.9	82.73	122.86
DPYSL2(ENSG00000092964.16)(protein_coding)	45.37	17.43	29.86	32.82	50	24.52	36.81	38.91	36.31	45.53	35.91	42.46	24.59	36.89	22.62	25.14	34.51	13.33	39.3	21.1	63.31	20.74	45.66	22.51	15.89	26.25	42.81	43.93	13.03	19.79	34.97	20.08	25.81	31.78	38.4
SNHG18(ENSG00000250786.1)(lincRNA)	7.21	10.17	4.66	8.69	5.75	10.41	4.11	16.55	3.72	5.18	5.92	6.26	4.08	24.4	10.18	23.21	9.96	9.7	14.16	11.7	8.03	17.44	26.77	3.66	11.02	17.32	10.61	26.99	12.57	5.25	0.34	16.34	7.24	4.85	0.33
GJC1(ENSG00000182963.9)(protein_coding)	2.89	1.96	7.05	4.22	1.41	9.12	5.31	5	3.69	2.76	2.59	3.27	1.47	17.82	9.04	5.59	7.47	6.16	28.53	5.32	5.47	7.28	2.59	9.89	9.15	6.71	2.89	9.89	12.83	0.78	14.19	5.64	9.91	3.78	7.19
DTNA(ENSG00000134769.21)(protein_coding)	7.95	5.37	9.03	6.65	14.3	7.55	10.23	8.92	13.35	7.23	10.88	10.48	10.15	2.54	0.27	6.8	6.12	6.82	5.7	2.54	4.93	2.38	3.22	4.06	0.79	6.42	5.27	0.93	5.2	15.92	3.29	11.33	1.82	13.42	1.87
CTC-260F20.3(ENSG00000258674.5)(protein_coding)	0.38	1.32	0.92	1.28	2.29	1.29	1.42	0.03	0.99	1.69	1.85	0.91	3.26	6.15	2.26	1.8	0.35	3.39	2.44	0.67	0.52	0.55	0.54	0.51	1.11	0.51	0.2	2.46	2.49	0.59	1.33	0.53	0.35	0.5	0.31
FOXS1(ENSG00000179772.7)(protein_coding)	4.96	2.01	9.84	10.76	0.41	9.25	1.38	9.89	2.13	1.24	2.13	1.67	7.25	2.76	2.83	4.11	0.52	5.96	0.56	2.7	1.18	8.89	5.99	0.28	1.14	1.84	1.46	6.5	2.35	0.02	2.84	0.26	0.97	2.04	0.52
TM2D2(ENSG00000169490.16)(protein_coding)	39.99	46.51	42.96	49.08	24.03	28.4	27.01	29.04	28.38	26.28	26.76	32.23	51.52	41.64	47.71	44.54	46.14	20.36	39.02	58.7	53.82	16.4	63.22	22.76	45.17	41.45	33.13	28.51	35.46	32.38	88.92	26.76	47.15	35.43	37.08
ADAM19(ENSG00000135074.15)(protein_coding)	2.08	0.82	3.69	1.37	1.21	3.19	2.39	1.79	1.65	2.44	1.19	2.3	0.86	5.62	24.21	1.69	30.16	2.03	5.31	12.22	3.02	5.83	4.15	8.24	19.14	7.81	6.84	18.89	9.04	3.61	3.85	6.16	7.93	3.13	15.2
COL4A5(ENSG00000188153.12)(protein_coding)	11.78	10.5	12.3	4.12	19.72	45.43	29.05	19.92	14.89	15.36	17.04	26.79	21.87	8.72	1.02	57.47	21.42	18.69	49.65	1.21	14.29	2.88	28.1	0.43	4.58	8.65	1.87	5.66	2.95	18.86	10.65	37.95	4.12	14.35	0.3
SAMD10(ENSG00000130590.13)(protein_coding)	5.31	6.98	10.17	2.58	13.56	9.62	5.38	4.42	7.79	5.69	6.85	5.13	14.43	0.61	0.63	3.87	0.7	14.75	1.94	2.37	2.05	0.5	1.99	0.31	1.27	3.09	0.29	4.89	5.17	9.41	2.46	5.66	0.59	3.19	0.32
SLC7A5(ENSG00000103257.8)(protein_coding)	3.37	9.5	5.45	2.82	5.16	3.56	3.58	2.68	5.36	7.83	3.91	5.19	6.64	32.91	6.01	0.7	9.01	9.59	8.19	5.19	6.12	24.59	20.85	17.88	4.55	5.77	1.02	16.38	12.28	26.74	35.52	4.12	2.62	4.46	3.69
ABO(ENSG00000175164.13)(protein_coding)	1.04	0.56	1.51	1.35	1.96	1.34	0.41	0.82	1.92	1.63	1.08	1.78	1.19	0.98	0.98	0.42	0.13	1.99	2.12	0.99	0.53	0.23	0.14	0.2	0.94	0.09	0.8	0.37	1.43	0.24	0.26	0.42	1.24	0.6	0.34
DICER1(ENSG00000100697.14)(protein_coding)	10.58	6.01	5.87	5.98	13.21	9.92	21.41	6.47	16.69	19.77	12.29	15.12	6.5	8.2	7.23	12.06	13.35	4.17	15.35	11.94	4.94	3.4	1.98	12.47	13.63	5.71	11.82	10.05	9.21	8.44	8.43	12.87	16.61	9.8	12.23
YWHAE(ENSG00000108953.16)(protein_coding)	349.78	355.84	276.34	306.54	276.37	338.3	354.52	193.09	250.62	269.1	235.69	240.07	254.21	495.16	207.68	220.09	476.44	255.19	309.11	199.16	362.89	212.21	242.23	183.06	207.06	281.38	180.3	179.99	641.43	438.22	442.65	381.61	195.72	283.37	179.21
KLF5(ENSG00000102554.13)(protein_coding)	14.86	75.36	16.81	12.32	16.06	4.35	7.74	9.33	40.42	31.36	19.79	23.42	23.65	23.02	3.74	9.62	7.54	8.33	1.5	3.34	2.32	23.56	8.11	14.01	2.3	2.94	39.48	2.89	19.66	17.71	18.43	32.1	3.3	16.19	0.8
PPP1R18(ENSG00000146112.11)(protein_coding)	27.02	28.01	45.69	46.04	21.69	36.67	19.42	36.96	17.54	26.94	23.76	19.99	20.24	86.23	117.56	22.99	58.88	33.71	42.68	51.52	98.18	109.75	73.95	57.01	72.74	34	20.5	71.5	78.01	25.33	106.22	24.27	65.24	34.28	65.24
IDS(ENSG00000241489.7)(protein_coding)	17.37	12.14	6.9	8.85	24.42	18.56	12.42	4.14	21.76	22.21	30.48	16.15	18.73	11.95	5.19	8.11	2.07	23.26	15.55	1.82	0.99	1.64	4.55	1.6	4.4	5.24	3.19	7.16	4.22	4.78	1.79	5.78	6.77	1.56	1.36
APLN(ENSG00000171388.11)(protein_coding)	4.43	1.68	6.74	0.46	2.53	5.16	7.2	2.97	11.05	3.21	1.36	2.91	3.65	5.94	2.22	2.7	5.67	8.06	1.72	2.67	6.41	3.29	12.51	29.54	13.92	10.68	0.68	2.91	6.44	2.61	1.73	4.91	0.82	1.91	6.52
CCND3(ENSG00000112576.12)(protein_coding)	54.06	77.91	51.24	102.27	84.5	37.43	51.96	55.44	46.47	85.74	55.8	45.11	50.25	51.71	30.29	24.95	21.8	47.23	11.05	21.08	18.38	17.33	112.71	28.08	32.26	15.56	12.23	23.97	14.84	12.08	51.29	30.34	6.36	19.36	20.2
LINC01232(ENSG00000280734.2)(processed_transcript)	2.56	2.39	0.84	0.8	1.69	1.72	1.2	3.26	5.53	3.32	0.82	2.29	3.1	1.04	0.99	1.09	1.2	1.32	0.72	3.31	1.81	0.94	0	1.51	3.18	0.41	2.64	1.05	1.32	0.68	6.98	1.3	1.39	1.24	2.71
LINC00921(ENSG00000281005.1)(lincRNA)	3.34	2.33	1.08	2.04	2.98	1.03	1.01	1.68	1.47	2.34	2.38	1.45	0.35	0.39	0.72	1.02	0.42	0.36	0.53	0.63	0.43	0.47	0.27	0.43	0.51	0.45	0.81	0.66	0.58	0.31	0.43	0.51	0.79	0.81	0.15
RP11-660L16.2(ENSG00000254682.1)(antisense)	1.35	9.74	1.17	1.33	11.1	1	1.73	2.08	4.64	4.92	6.29	3.8	8.55	1.96	1.16	2.79	1.52	3.52	1.83	1.98	5.99	1.74	3.93	1.61	0.27	1.13	0.14	2.11	3.28	0.39	2.51	1.18	0.48	3.54	0.29
C5orf30(ENSG00000181751.9)(protein_coding)	8.27	4.7	4.59	6.32	9.05	8.13	11.34	4.76	7.62	5.14	8.94	7.14	5.17	1.52	0.99	15.74	9.07	3.91	11.56	5.58	9.3	3.15	7.99	2.99	0.82	4.52	2.45	1.08	6.16	9.43	12.3	9.08	2.26	13.59	0.5
RP11-299H21.1(ENSG00000272902.2)(lincRNA)	0.3	0.82	0.25	1.04	0.39	0.35	0.59	0.34	0.47	0.62	0.58	0.61	1.17	0.68	0.18	0.56	0.36	0.41	2.04	0.43	0.19	0.23	0.97	0.15	0.35	0.65	0.9	0.44	0.22	0.33	0.41	0.51	0.6	0.51	0.36
LZTS3(ENSG00000088899.14)(protein_coding)	7.64	8.05	3.98	5.78	5.59	5.36	5.24	7.34	9.22	9.62	10.12	6.57	11.59	7.98	0.76	6.67	0.73	13.41	4.91	2.14	1.93	1.88	5.02	1.07	2.62	3.87	2.28	11.33	5.82	2.75	1.73	4.56	1.5	3.64	1.89
UFSP1(ENSG00000176125.4)(protein_coding)	3.06	4.83	2.22	4.5	2.27	4.12	1.26	2.31	1.06	0.22	2.87	0.8	2.76	1.68	3.03	0.65	0.19	3.11	0.36	0.62	0.51	0.95	7.54	0.21	1.57	1	0.21	2.18	1.83	0.5	4.39	1.71	0.11	0.67	0.41
CHAC1(ENSG00000128965.11)(protein_coding)	0.94	1.51	0.41	2.94	0.93	1.1	0.7	0.81	0.47	1.01	0.85	0.88	3.9	14.85	0.38	1.03	0.52	1.55	1.54	0.85	0.99	4.29	5.48	2.98	0.45	0.52	0.12	11.56	2.11	0.79	3.55	1.33	0.36	1.6	4.17
ANKFY1(ENSG00000185722.16)(protein_coding)	15.87	12.84	15.25	11.37	16.83	17.82	27.02	10.6	24.13	24.52	18.93	24.43	15.38	26.41	10.4	20.5	15.41	13.8	15.18	14.18	11.22	9.33	13.48	8.17	14.37	15.93	13.45	11.3	18.78	10.2	15.1	16.73	15.12	11.8	12.33
CAMK2D(ENSG00000145349.16)(protein_coding)	11.91	13.96	18.37	13.87	10.93	13.07	16.09	9.87	21.61	18.91	8.82	17.49	6.14	11.27	13.6	17.33	11.07	3.1	32.59	30.71	22.73	28.57	21.91	17.22	16.56	10.96	30.24	11.11	10.57	11.4	24.53	16.32	21.96	22.17	23.48
NOTCH2NL(ENSG00000264343.5)(protein_coding)	18.09	19.1	14.29	18.5	15.3	25.48	16.27	18.04	15.17	15.68	19.69	15.25	7.88	13.53	24.18	16.22	9.86	34.44	7.2	10	8.39	6.55	15.81	5.26	15.79	18.31	9.31	11.34	18.48	11.14	17.45	22.55	9.24	10.32	21.69
SH3GLB2(ENSG00000148341.17)(protein_coding)	104.39	154.19	71.15	58.44	176.9	148.18	78.17	114.69	91.78	105.82	129.37	101.49	265.76	53.27	22.46	66.53	10.63	168.33	15.15	39.44	41.47	25.6	31.71	8.32	16.24	37.49	30.13	41.9	22.97	63.04	28.35	56.18	10.79	56.27	19.72
ZNF229(ENSG00000278318.4)(protein_coding)	5.07	7.8	7.26	1.21	4.36	3.48	5.26	2.61	7.66	7.76	5.03	4.89	1.8	13.11	8.51	2.78	0.37	3.69	9.54	1.54	1.36	1.34	9.3	3.1	4.62	3.68	0.14	5.55	18.67	3.29	4.2	7.55	4	5.58	1.74
UNC13D(ENSG00000092929.11)(protein_coding)	9.27	6.66	9.55	9.52	15.58	9.56	14.18	11.17	6.44	14.06	14.89	10.05	16.92	6.65	2.12	7.08	2.81	22.36	1.71	7.53	5.05	2.09	2.37	1.39	6.24	4.07	6.53	4.51	6.2	19.46	7.72	6.72	7.17	5.27	2.08
IK(ENSG00000113141.15)(protein_coding)	95.17	102.14	93.35	87.98	98.95	79.22	98	111.97	97.91	102.2	83.23	77.62	107.02	229.37	152.17	131.92	182.44	98.4	277.8	93.98	124.09	69.34	111.71	84.59	62.69	92.09	116.38	97.9	96.43	68.59	102.1	97.13	114.42	129.43	136.4
SRPRB(ENSG00000144867.11)(protein_coding)	18.36	23.72	28.02	14.87	22.86	31.62	37.16	16.72	26.29	21.52	17.6	28.46	19.42	52.7	43.43	21	68.32	31.31	21.72	41.46	45.41	43.21	25.62	98.15	56.33	30.87	25.1	32.02	29.13	19.82	52.79	40.74	42.26	33.94	62.07
ZNF668(ENSG00000167394.12)(protein_coding)	5.7	5.94	13.48	6.18	4.56	6.5	3.52	9.99	4.14	4.17	6.09	6.62	6.41	20.09	9.66	3	3.65	9.18	6.8	7.85	10.34	6.56	18.11	3.58	7.99	11.06	8.48	9.61	8.39	4.52	11.72	5.29	12.66	4.47	7.13
TMEM220-AS1(ENSG00000263400.6)(antisense)	1.93	1.66	0.75	3.99	1.58	1.15	0.66	0.78	1.57	0.83	0.71	1.33	0	1.73	0.15	0.91	0.42	2.21	0.69	0.19	0.4	0.09	0.96	0.33	0.74	1.65	0.46	0.39	0	0.35	0.16	0.92	0.79	1.38	0
REPS1(ENSG00000135597.18)(protein_coding)	15.46	16.95	18.5	10.22	30.33	16.27	22.4	16.72	23.28	22.11	29.63	17.47	20.55	21.99	19.6	17.06	17.27	17.29	34.15	12.31	23.04	13.13	14.94	13.28	13.02	15.14	19.43	15.01	21.1	23.75	13.06	21.53	14.24	17.93	46.07
RASL12(ENSG00000103710.10)(protein_coding)	13.3	12.37	14.43	11.78	6.94	20.36	8.97	18.28	12.28	8.95	9.4	11.61	14.4	14.84	38.64	10.18	1.1	25.31	5.26	2.72	4.04	2.62	7.43	4	15.91	21.12	9.44	58.52	8.14	0.14	1.47	14.19	9.1	6.54	43.12
LDAH(ENSG00000118961.14)(protein_coding)	8.29	8.41	6.88	6.56	8.42	4	10.35	3.96	7.05	7.68	3.59	8.14	6.11	4.78	9.19	9.53	9.44	4.38	13.66	4.82	7.2	3.79	6.6	7.21	7.61	5.32	5.11	10.25	10.18	9.28	10.36	8.11	7.18	8.97	4.61
GPLD1(ENSG00000112293.14)(protein_coding)	1.08	1.5	0.45	1.02	1.44	0.61	1.31	2.65	1.18	1.11	0.72	1.22	0.33	0.83	0.41	1.83	0.16	0.32	3.15	0.11	0.11	0.09	1.09	0.07	2.08	0.41	3.05	0.47	1.27	1.95	1.48	3.19	0.98	0.28	0.6
RANBP6(ENSG00000137040.9)(protein_coding)	9.27	5.39	7.45	4.69	8.93	5.75	14.05	9.74	13.06	10.31	7.66	14.4	6.48	3.82	7.48	10.64	9.03	2.91	10.9	8.4	6.18	2.75	2.58	5.56	6.64	5.92	7.51	6.16	4.29	8.07	16.49	11.18	11.2	9.63	6.97
BAD(ENSG00000002330.13)(protein_coding)	58.82	99.8	81.33	79.94	60.14	67.99	42.19	98.97	43.39	35.15	68.08	42.25	98.58	98.52	35.47	44.75	11.51	119.04	22.37	63.77	19.38	43.57	74.7	21.48	27.35	25.16	20.7	49.23	111.03	45.22	60.46	30.53	8.89	33.47	19.74
TCTEX1D2(ENSG00000213123.10)(protein_coding)	11	17.58	12.18	13.24	14.59	16.66	9.71	15.58	9.96	7.68	10.11	9.44	23.6	18.96	12.5	19.26	11.99	20.97	13.99	6.33	16.43	7.56	6.59	10.28	5.22	10.57	3.33	16.03	13.95	14.51	18.86	16.65	2.45	9.66	5.55
NRIP2(ENSG00000053702.14)(protein_coding)	4.08	13.21	12.14	11.12	3.15	10.07	5.37	15.76	8.3	8.26	5.03	7.5	4.82	1.2	0.78	21.5	0.08	8.22	1.17	1.09	2.58	0.36	1.16	0.53	5.79	18.42	6.28	5.64	0.52	0.26	0.16	9.54	2.91	4.32	3.39
SMC1A(ENSG00000072501.17)(protein_coding)	15.11	15.11	20.74	11.23	12.54	22.51	27.47	11.29	18.51	18.87	11.67	20.32	12.73	71.73	18.57	31.22	51.75	8.39	75.94	32.2	10.34	15.38	33.32	48.11	34.01	32.19	23.22	17.18	88.75	12.18	32.45	30.56	45.8	27.64	27.07
GCLM(ENSG00000023909.9)(protein_coding)	6.89	6.1	5.72	3.77	5.19	4.36	7.47	2.75	5.79	8.37	4.63	9.34	10.99	4.11	3.27	3.57	17.04	1.57	8.7	5.13	1.93	2.36	2.58	4.52	5.77	5.71	3.16	4.96	4.65	7.68	20.31	4.1	6.55	4.31	4.1
LIG3(ENSG00000005156.11)(protein_coding)	13.32	9.47	8.48	4.55	11.54	16.31	23.61	12.37	15.34	14.2	13.53	12.89	27.41	35.52	9.39	12.39	8.81	11.5	16.71	8.11	6.77	7.88	11.31	9.67	13.29	11.73	10.01	10.66	29.51	6.87	9.89	13.48	12.99	15.35	7.92
ITPRIP(ENSG00000148841.15)(protein_coding)	6.09	7.53	10.04	12.71	4.72	5.53	4.8	6.64	4.26	6.71	5.15	7.66	3.53	23.36	11.9	7.65	12.84	3.8	4.21	9.51	15.73	13.41	17.69	12.9	15.64	5.34	4.74	20.25	16.08	2.9	20.38	7.26	9.87	6.05	19.72
CRIM1(ENSG00000150938.9)(protein_coding)	72.08	34.98	34.81	39.68	55.07	33.38	74.44	27.8	64.37	81.14	52.92	67.03	33.4	4.18	9.84	29.75	15.19	7.98	16.2	8.73	25.15	5.01	7.03	4.18	7.8	15.85	24.53	6.87	4.44	38.99	18.75	17.44	10.15	34.84	13.54
RAB38(ENSG00000123892.11)(protein_coding)	3.87	7.26	6.2	2.92	8.88	5.48	12.53	4.44	6.52	9.12	6.75	8.07	15.17	1.8	0.49	4.39	8.99	3.42	1.52	6.1	2.79	21.65	18.97	6.06	2.39	1.44	0.95	0.95	2.48	7.06	2.85	2.64	2.13	3.87	0.14
COPE(ENSG00000105669.12)(protein_coding)	76.73	123.9	124.45	97.95	81.09	123.68	81.57	164.93	62.26	65.66	105.02	63.92	142.96	178.43	111.02	64.7	40.67	265.04	41.59	114.17	55.16	80.45	194.67	53.3	74.01	60.55	18.44	104.05	107.35	91.09	117.94	64.89	25.85	53.86	95.37
RWDD2B(ENSG00000156253.6)(protein_coding)	15.71	13.99	12.54	13.39	14.63	14.83	15.13	10.37	16.46	13.84	14.13	12.82	16.03	16.84	6.13	14.04	28.29	15.07	10.06	11.15	16.36	7.67	14.1	12.62	11.08	13.13	9.23	5.82	3.33	17.03	8.95	19.1	15.04	15.75	10.33
C9orf91(ENSG00000157693.14)(protein_coding)	11.16	7.53	6.99	6.48	12.05	11.26	11.76	3.03	6.95	6.05	10.24	9.16	5.68	14.07	6.13	10.03	7.04	4.79	4.38	13.11	8.35	5.16	8.31	9.76	7.42	11.1	2.94	5.31	5.41	7.14	10.79	8.55	8.73	13.17	5.7
SMAP1(ENSG00000112305.14)(protein_coding)	12.42	8.32	10.43	7.4	9.56	7.94	15.67	8.09	13.6	12.23	11.52	12.69	6	13.47	8.87	14.59	17.01	5.17	29.82	13.43	13.99	13.65	9.44	17.75	16.22	14.97	17.5	7.76	20.68	21.63	9.72	17.31	13.44	17.94	11.18
FAT1(ENSG00000083857.13)(protein_coding)	24.84	27.45	44.16	22.43	48.2	45.12	44.1	35.29	28.79	28.07	44.7	39.52	88.22	61.28	138.47	60.98	35.33	41.38	110.76	55.97	82.55	97.32	202.38	146.04	48.24	87.64	29.01	43.98	29.43	75.03	54.21	38.82	83.75	67.86	35.17
MINOS1(ENSG00000173436.13)(protein_coding)	31.08	24.58	29.07	36.6	31.14	35.24	51.72	18.59	25.28	20.28	42.49	37.88	32.55	36.75	36.44	28.87	68.28	41.74	28.37	52.34	47.06	17.41	21.51	21.68	34.95	17.66	22.45	23.73	25.76	35.93	63.91	25.15	42.84	30.37	20.81
PSMD1(ENSG00000173692.12)(protein_coding)	24.36	17.45	28.01	24.82	18.72	29.31	42.22	21.18	21.1	25.58	23.95	28.8	21.61	33.01	29.56	31.54	102.96	25.9	63.86	50.54	53.72	25.47	39.68	43.76	45.33	35.97	34.25	33.22	38.4	30.71	67.78	41.53	51.56	41.84	44.68
PEMT(ENSG00000133027.17)(protein_coding)	30.02	36.97	27.66	59.63	23.28	29.24	26.51	27.12	25.03	23.52	19.34	14.98	35.36	42.4	12.67	22.82	6.88	61.07	9.87	16.18	14.06	32.51	22.72	15	12.65	28.24	17.37	17.19	17.08	20.48	22.48	25.3	2.98	19.3	19.83
CCL8(ENSG00000108700.4)(protein_coding)	4.9	8.85	12.51	49.37	1.16	2.79	2.66	1.84	3.41	1.49	1.3	12.53	1.13	14.62	13.67	2.05	2.09	0.68	2.45	5.84	17.1	1.59	3.77	4.34	55.44	1.65	3.12	1.84	5.38	0.16	45.92	0.44	11.37	3.55	2
BCL2L2(ENSG00000129473.9)(protein_coding)	30.95	25.8	26.03	31.52	31.45	29.33	41.53	26.95	27.54	28.71	24.3	26.74	23.87	13.74	7.03	15.46	6.85	13.5	8.41	17.25	7.48	6.53	21.95	8.13	26.99	12.66	14.3	19.32	13.38	14.6	16.81	14.35	14.36	20.91	20.18
HIST4H4(ENSG00000197837.3)(protein_coding)	2.9	0.83	0.23	0.88	3.49	1.45	5.09	2.16	2.15	7.84	2.46	3.97	7.96	0.23	0.5	3.94	0.34	0.05	0.29	0.49	0.25	0.06	0	0.47	1.25	0.25	1.39	1.34	4.13	2.05	1.02	1.82	0.57	1.34	0
RPL22(ENSG00000116251.9)(protein_coding)	559.17	538.25	347.63	320.99	569.44	385.14	393.69	352.35	626.69	605.68	563.84	429.22	432.23	279.65	552.52	628.31	803.81	565.25	429.52	353.27	621.87	224.98	408.7	304.69	421.69	508.67	1093.38	377.17	400.59	765.24	359.95	619.56	343.5	685.73	614.54
CSNK1A1(ENSG00000113712.16)(protein_coding)	88.28	78.32	81.07	74.54	75.56	88.64	132.34	46.49	95.73	83.66	78.72	114.96	57.92	101.22	67.4	79.77	98.96	25.09	82.68	70.31	75.96	38.79	48.79	69.2	75.19	65.76	86.59	62.48	47.39	89.39	101.7	105.61	101.48	99.44	82.62
AC005562.1(ENSG00000214719.11)(processed_transcript)	1.14	1.58	2.68	1.8	2.2	1.95	5.08	3.83	4.09	2.17	0.74	2.76	2.58	4.75	0.85	2.67	2.32	0	3.11	2.97	1.39	2.19	1.42	3.09	2.25	2.6	3.2	1.64	2.82	1.59	2.45	2.87	3.36	4.24	2.78
TULP3(ENSG00000078246.15)(protein_coding)	17.72	16.5	13.84	12.76	15.16	12.49	12.58	12.48	13.79	15.76	13.71	15.12	10.24	29.5	23.53	18.43	22.17	9.41	18.04	13.84	32.29	32.98	41.33	18.81	18.43	21.18	23.86	19.21	18.77	9.57	10.89	16.27	15.1	18.56	37.05
RP11-468E2.10(ENSG00000276698.1)(lincRNA)	0.94	0.4	0	0	2.38	0	0.59	0	0.81	0.4	2.09	0.58	1.86	0.35	0.09	0.18	0.21	1.21	0.36	0.06	0.61	0.19	0.98	0.19	0.39	0	0.59	0.15	0.12	0.26	0.46	0.42	0.34	0.2	0.12
PIGK(ENSG00000142892.14)(protein_coding)	17.57	9.77	21.42	12.5	16.98	19.36	25.15	12.28	18.49	16.25	10.11	27.32	9.95	12.85	9.6	26.77	34.49	11.37	39.53	44.46	26.14	13.72	4.32	56.87	38.39	18.34	25.81	12.58	14.08	19.69	44.5	35.32	39.52	40.38	25.56
ZNF611(ENSG00000213020.8)(protein_coding)	4.01	2.44	4.3	2.21	10.51	2.29	5.57	2.33	3.37	5.22	3.37	4.47	1.98	4.18	2.59	4.22	1.58	1.57	4.73	7.1	1.22	1.41	1.46	4.26	3.86	2.68	2.73	3.15	2.36	3.47	5.64	2.93	5.72	2.78	3.93
PSMF1(ENSG00000125818.17)(protein_coding)	93.45	81.47	68.93	71.39	70.5	79.26	64.85	62.23	63.49	82.27	59.07	51.64	95.17	109.91	28.58	96.98	91.17	54.69	135.95	59.43	139.79	138.3	104.73	73.15	92.4	85.03	87.75	33.66	87.14	99.18	169.75	74.11	75.42	102.89	42.13
